,Accuracy,Precision,Recall,F1,Log-Loss-Value,AUC
0,0.9341580207501995,0.9468911917098446,0.9812080536912752,0.963744232036915,0.16442827602529853,0.9480241379595004
1,0.9321628092577813,0.9476896251089799,0.9775179856115108,0.962372731297034,0.16291904680382222,0.9529232996581458
2,0.9321628092577813,0.9480968858131488,0.9776984834968778,0.9626701800614844,0.16233817720648902,0.9482131754656287
3,0.9353551476456504,0.9463058419243986,0.9834821428571429,0.9645359019264448,0.16679382760158457,0.9449583780880773
4,0.9293695131683959,0.9433880726015558,0.9793629430237775,0.961038961038961,0.17103566287790348,0.9464217170122102
5,0.936951316839585,0.9501517121803208,0.9807606263982103,0.9652135623073536,0.15418900693690646,0.9570932085159777
6,0.9321628092577813,0.947391304347826,0.9780071813285458,0.9624558303886925,0.16184587382780108,0.9533520400914457
7,0.9349561053471668,0.9475963620614984,0.9811659192825112,0.9640890063890725,0.16327358539126677,0.9505784103463962
8,0.9333599361532322,0.9452822059457131,0.982094897045658,0.9633369923161361,0.1662754308956559,0.9479517747116752
9,0.9325618515562649,0.9478984238178634,0.9774266365688488,0.9624360969104245,0.15950544219275084,0.9565071016887358
10,0.9357541899441341,0.9462827675118178,0.9839142091152815,0.9647316538882804,0.1596955903114168,0.95271797847225
11,0.936951316839585,0.9499784389823199,0.9812917594654789,0.9653812445223489,0.15434069274417797,0.9561921340740173
12,0.9341580207501995,0.9475043029259896,0.9808463251670378,0.963887065003283,0.15603843100319637,0.9521320260434001
13,0.9409417398244214,0.9529157667386609,0.9826280623608018,0.9675438596491228,0.150344777877534,0.9565863690278098
14,0.9329608938547486,0.9475509319462505,0.9789520824003582,0.9629955947136564,0.1624536358863333,0.9510686357976998
15,0.936951316839585,0.950237992211164,0.9807949977668602,0.9652747252747252,0.15721310796879298,0.9526607818832978
16,0.9341580207501995,0.947754749568221,0.9803483698079499,0.9637760702524698,0.16402610368478815,0.9469482931953637
17,0.9365522745411013,0.9496964440589766,0.980743394536498,0.9649702577660277,0.1604141529429864,0.9520873215454497
18,0.9341580207501995,0.9472546476437527,0.9807520143240823,0.9637123378051462,0.1600137840085955,0.9514982358207382
19,0.9361532322426177,0.949438202247191,0.9808035714285714,0.9648660518225736,0.15653890634305326,0.9542662459720731
20,0.9305666400638468,0.944851357173632,0.9794551138901295,0.9618421052631579,0.16205971967557303,0.9514647557011975
21,0.9385474860335196,0.9535791757049892,0.9790645879732739,0.9661538461538461,0.1498791103911193,0.9576956881618581
22,0.9305666400638468,0.9466783216783217,0.9765554553651938,0.9613848202396804,0.16602430989829395,0.9514530733393449
23,0.9353551476456504,0.9491304347826087,0.979802513464991,0.9642226148409894,0.160348062351019,0.9531340816036579
24,0.9325618515562649,0.9467762873215059,0.9794091316025068,0.9628162816281628,0.1621873568545364,0.9530402469850968
25,0.9321628092577813,0.9454309224772629,0.9802424786708577,0.9625220458553791,0.16764874832494137,0.9473261519990086
26,0.9361532322426177,0.9481798715203427,0.9826897470039947,0.96512641673932,0.15468049172568593,0.9512516469038209
27,0.9381484437350359,0.9518438177874187,0.9803395889186773,0.9658815760510676,0.15779345367215267,0.951555893454977
28,0.9325618515562649,0.9446127217654695,0.9815647482014388,0.962734288864388,0.17217087595900732,0.945550474514006
29,0.9317637669592976,0.9448717948717948,0.9813581890812251,0.9627694317439582,0.1578319707848954,0.9494306230252505
Mean,0.9343442404894918,0.9478420191476279,0.9803427069949855,0.963816192758337,0.16081025373891925,0.9514694633686037
Std,0.002603952719348729,0.0023633487518973186,0.0017530873847522914,0.0014881974750488227,0.005306973575008422,0.003402475092890419
