,model_name,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,random_forest_150_trees_0,0.9790392342538325,0.9227255278310941,0.9789603470338746,0.9214269822150862
1,gradient_boost_200_trees_0.05,0.8563714073657,0.8558157389635317,0.8470408791230122,0.8462736561598956
2,gradient_boost_200_trees_0.1,0.8631023980753973,0.8618426103646833,0.8549397370312362,0.8534209087220244
3,gradient_boost_200_trees_0.3,0.8802497888567553,0.8741266794625719,0.875077193591335,0.868227213716311
4,gradient_boost_200_trees_0.6,0.8898216159496327,0.8762763915547025,0.886378463992858,0.8722845836740202
5,gradient_boost_200_trees_0.9,0.8936605840350114,0.8765834932821497,0.8910237088818017,0.8732990157301057
6,xg_boost_40_trees_0.1,0.8864945102756379,0.8693666026871402,0.883468379765189,0.8655799477366786
7,xg_boost_50_trees_1,0.8895144985028024,0.8724376199616123,0.8861127215412019,0.8680627397552174
8,xg_boost_50_trees_3,0.8862897653110844,0.8710556621880998,0.8826994146620526,0.8667086273003785
9,xg_boost_50_trees_5,0.8831929977222123,0.8719385796545106,0.8794370978917557,0.8672589244870791
10,xg_boost_50_trees_9,0.8788165741048806,0.8686756238003839,0.8750518923532318,0.8645329882598739
11,xg_boost_50_trees_15,0.8765643794947918,0.8672936660268714,0.8721151616134706,0.862429496808897
